No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
6377.0,20203,19746,23,20,-457,1020,847,119,0,8,0.003606711619883958,0.0031362709738121373,0.159949819664419,0.132821075740944,0.0,0.019915320683707074,3
6378.0,20206,19754,23,20,-452,1020,847,119,0,8,0.003606146127312637,0.0031357792411414237,0.1599247412982126,0.1328002508623393,0.0,0.01991219818124804,3
6379.0,20209,19754,23,20,-455,1020,847,119,0,8,0.003605580812039505,0.0031352876626430477,0.15989967079479542,0.13277943251293306,0.0,0.019909076657783353,3
6380.0,20212,19754,23,20,-458,1020,847,119,0,8,0.003605015673981191,0.003134796238244514,0.15987460815047022,0.13275862068965516,0.0,0.019905956112852664,3
6381.0,20215,19754,23,20,-461,1020,847,119,0,8,0.0036044507130543802,0.003134304967873374,0.15984955336154208,0.13273781538943738,0.0,0.019902836545995926,3
6382.0,20218,19754,23,20,-464,1020,848,119,0,8,0.003603885929175807,0.0031338138514572234,0.1598245064243184,0.13287370730178627,0.0,0.01989971795675337,3
6383.0,20221,19757,23,20,-464,1020,848,119,0,8,0.003603321322262259,0.0031333228889237038,0.15979946733510889,0.13285289049036503,0.0,0.01989660034466552,3
6384.0,20224,19757,23,20,-467,1021,848,119,0,8,0.0036027568922305762,0.003132832080200501,0.1599310776942356,0.13283208020050125,0.0,0.019893483709273182,3
6385.0,20227,19765,23,20,-462,1021,848,119,0,8,0.003602192638997651,0.0031323414252153485,0.15990602975724355,0.13281127642913076,0.0,0.019890368050117464,3
6386.0,20230,19765,23,20,-465,1021,849,119,0,8,0.003601628562480426,0.0031318509238960224,0.15988098966489195,0.13294707171938616,0.0,0.019887253366739743,3
6387.0,20233,19768,23,20,-465,1021,849,119,0,8,0.003601064662595898,0.003131360576170346,0.15985595741349617,0.13292625645843117,0.0,0.019884139658681698,3
6388.0,20236,19768,23,20,-468,1021,849,119,0,8,0.0036005009392611146,0.0031308703819661866,0.15983093299937381,0.1329054477144646,0.0,0.019881026925485285,3
6389.0,20239,19768,23,20,-471,1021,849,119,0,8,0.0035999373923931758,0.0031303803412114574,0.1598059164188449,0.13288464548442636,0.0,0.019877915166692753,3
6390.0,20242,19768,23,20,-474,1021,849,119,0,8,0.0035993740219092333,0.003129890453834116,0.1597809076682316,0.13286384976525822,0.0,0.019874804381846637,3
6391.0,20245,19768,23,20,-477,1021,849,119,0,8,0.0035988108277264902,0.0031294007197621657,0.15975590674385856,0.13284306055390394,0.0,0.01987169457048975,3
6392.0,20248,19768,23,20,-480,1021,849,119,0,8,0.0035982478097622028,0.0031289111389236545,0.15973091364205255,0.13282227784730913,0.0,0.019868585732165208,3
6393.0,20251,19768,23,20,-483,1021,850,119,0,8,0.0035976849679336775,0.003128421711246676,0.15970592835914282,0.13295792272798374,0.0,0.019865477866416393,3
6394.0,20254,19771,23,20,-483,1021,851,119,0,8,0.0035971223021582736,0.0031279324366593683,0.15968095089146075,0.13309352517985612,0.0,0.019862370972786987,3
6395.0,20257,19774,23,20,-483,1022,851,119,0,8,0.003596559812353401,0.003127443315089914,0.1598123534010946,0.13307271305707585,0.0,0.019859265050820953,3
6396.0,20260,19782,23,20,-478,1023,851,119,0,8,0.003595997498436523,0.0031269543464665416,0.1599437148217636,0.13305190744215134,0.0,0.01985616010006254,3
6397.0,20263,19790,23,20,-473,1023,851,119,0,8,0.0035954353603251522,0.003126465530717524,0.15991871189620135,0.13303110833203063,0.0,0.019853056120056275,3
6398.0,20266,19790,23,20,-476,1024,851,119,0,8,0.003594873397936855,0.0031259768677711786,0.16005001562988433,0.13301031572366365,0.0,0.019849953110346985,3
6399.0,20269,19798,23,20,-471,1024,852,119,0,8,0.0035943116111892483,0.003125488357555868,0.16002500390686045,0.13314580403187998,0.0,0.019846851070479763,3
6400.0,20272,19801,23,20,-471,1024,852,119,0,8,0.00359375,0.003125,0.16,0.133125,0.0,0.01984375,3
6401.0,20275,19801,23,20,-474,1024,852,119,0,8,0.00359318856428683,0.0031245117950320263,0.15997500390563973,0.13310420246836432,0.0,0.019840649898453366,3
6402.0,20278,19801,23,20,-477,1024,852,119,0,8,0.00359262730396751,0.003124023742580444,0.1599500156201187,0.1330834114339269,0.0,0.019837550765385816,3
6403.0,20281,19801,23,20,-480,1025,852,119,0,8,0.0035920662189598625,0.0031235358425737935,0.1600812119319069,0.1330626268936436,0.0,0.01983445260034359,3
6404.0,20284,19809,23,20,-475,1025,852,119,0,8,0.0035915053091817614,0.003123048094940662,0.16005621486570892,0.1330418488444722,0.0,0.019831355402873205,3
6405.0,20287,19809,23,20,-478,1025,852,119,0,8,0.003590944574551132,0.00312256049960968,0.1600312256049961,0.13302107728337237,0.0,0.019828259172521467,3
