No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
2811.0,8793,7993,4,8,493,378,47,0,4,1
2812.0,8796,7993,4,8,493,378,47,0,4,1
2813.0,8799,7993,4,8,494,378,47,0,4,1
2814.0,8802,8001,4,8,494,378,47,0,4,1
2815.0,8805,8001,4,8,495,378,47,0,4,1
2816.0,8808,8009,4,8,495,378,47,0,4,1
2817.0,8811,8009,4,8,495,379,47,0,4,1
2818.0,8814,8012,4,8,495,379,47,0,4,1
2819.0,8817,8012,4,8,495,379,47,0,4,1
2820.0,8820,8012,4,8,495,379,47,0,4,1
2821.0,8823,8012,4,8,495,379,47,0,4,1
2822.0,8826,8012,4,8,495,379,47,0,4,1
2823.0,8829,8012,4,8,495,379,47,0,4,1
2824.0,8832,8012,4,8,495,379,47,0,4,1
2825.0,8835,8012,4,8,495,379,47,0,4,1
2826.0,8838,8012,4,8,495,380,47,0,4,1
2827.0,8841,8015,4,8,495,380,47,0,4,1
2828.0,8844,8015,4,8,495,380,47,0,4,1
2829.0,8847,8015,4,8,495,380,47,0,4,1
2830.0,8850,8015,4,8,495,380,47,0,4,1
2831.0,8853,8015,4,8,496,380,47,0,4,1
2832.0,8856,8023,4,8,496,380,47,0,4,1
2833.0,8859,8023,4,8,497,380,47,0,4,1
2834.0,8862,8031,4,8,498,380,47,0,4,1
2835.0,8865,8039,4,8,498,380,47,0,4,1
2836.0,8868,8039,4,8,498,380,47,0,4,1
2837.0,8871,8039,4,8,498,380,47,0,4,1
2838.0,8874,8039,4,8,498,380,47,0,4,1
2839.0,8877,8039,4,8,498,381,47,0,4,1
2840.0,8880,8042,4,8,499,381,47,0,4,1
2841.0,8883,8050,4,8,499,382,47,0,4,1
2842.0,8886,8053,4,8,500,382,47,0,4,1
2843.0,8889,8061,4,8,500,382,47,0,4,1
2844.0,8892,8061,4,8,500,383,47,0,4,1
2845.0,8895,8064,4,8,501,383,47,0,4,1
2846.0,8898,8072,4,8,501,383,47,0,4,1
2847.0,8901,8072,4,8,501,383,47,0,4,1
2848.0,8904,8072,4,8,501,383,47,0,4,1
2849.0,8907,8072,4,8,501,383,47,0,4,1
2850.0,8910,8072,4,8,501,383,47,0,4,1
2851.0,8913,8072,4,8,501,383,47,0,4,1
2852.0,8916,8072,4,8,501,383,47,0,4,1
2853.0,8919,8072,4,8,501,383,47,0,4,1
2854.0,8922,8072,4,8,501,383,47,0,4,1
2855.0,8925,8072,4,8,501,383,47,0,4,1
2856.0,8928,8072,4,8,501,384,47,0,4,1
2857.0,8931,8075,4,8,501,384,47,0,4,1
2858.0,8934,8075,4,8,501,384,47,0,4,1
2859.0,8937,8075,4,8,501,384,47,0,4,1
2860.0,8940,8075,4,8,501,384,47,0,4,1
2861.0,8943,8075,4,8,502,384,47,0,4,1
2862.0,8946,8083,4,8,502,385,47,0,4,1
2863.0,8949,8086,4,8,502,385,47,0,4,1
2864.0,8952,8086,4,8,502,385,47,0,4,1
2865.0,8955,8086,4,8,502,385,47,0,4,1
2866.0,8958,8086,4,8,503,385,47,0,4,1
2867.0,8961,8094,4,8,503,385,47,0,4,1
2868.0,8964,8094,4,8,503,385,47,0,4,1
2869.0,8967,8094,4,8,503,385,47,0,4,1
2870.0,8970,8094,4,8,503,385,47,0,4,1
2871.0,8973,8094,4,8,503,385,47,0,4,1
2872.0,8976,8094,4,8,504,385,47,0,4,1
2873.0,8979,8102,4,8,504,385,47,0,4,1
2874.0,8982,8102,4,8,505,385,47,0,4,1
2875.0,8985,8110,4,8,506,385,47,0,4,1
2876.0,8988,8118,4,8,506,385,47,0,4,1
2877.0,8991,8118,4,8,507,385,47,0,4,1
2878.0,8994,8126,4,8,508,385,47,0,4,1
2879.0,8997,8134,4,8,509,385,47,0,4,1
2880.0,9000,8142,4,8,509,386,47,0,4,1
2881.0,9003,8145,4,8,510,386,47,0,4,1
2882.0,9006,8153,4,8,510,386,47,0,4,1
2883.0,9009,8153,4,8,511,386,47,0,4,1
2884.0,9012,8161,4,8,511,386,47,0,4,1
2885.0,9015,8161,4,8,511,386,47,0,4,1
2886.0,9018,8161,4,8,512,386,47,0,4,1
2887.0,9021,8169,4,8,512,386,47,0,4,1
2888.0,9024,8169,4,8,512,386,47,0,4,1
2889.0,9027,8169,4,8,513,386,47,0,4,1
2890.0,9030,8177,4,8,513,386,47,0,4,1
2891.0,9033,8177,4,8,514,386,47,0,4,1
2892.0,9036,8185,4,8,514,387,47,0,4,1
2893.0,9039,8188,4,8,514,387,47,0,4,1
2894.0,9042,8188,4,8,514,387,47,0,4,1
2895.0,9045,8188,4,8,514,388,47,0,4,1
2896.0,9048,8191,4,8,514,388,47,0,4,1
2897.0,9051,8191,4,8,514,388,47,0,4,1
2898.0,9054,8191,4,8,514,388,48,0,4,1
2899.0,9057,8193,4,8,514,388,48,0,4,1
2900.0,9058,8193,4,8,514,388,48,0,4,1
2901.0,9059,8193,4,9,514,388,48,0,4,1
2902.0,9104,8487,4,9,515,388,48,0,4,1
2903.0,9107,8495,4,9,515,389,48,0,4,1
2904.0,9110,8498,4,9,515,389,48,0,4,1
2905.0,9113,8498,4,9,515,389,48,0,4,1
2906.0,9116,8498,4,9,515,389,48,0,4,1
2907.0,9119,8498,4,9,515,389,48,0,4,1
2908.0,9122,8498,4,9,515,389,48,0,4,1
2909.0,9125,8498,4,9,515,389,48,0,4,1
2910.0,9128,8498,4,9,515,389,48,0,4,1
2911.0,9131,8498,4,9,515,389,48,0,4,1
2912.0,9134,8498,4,9,515,389,48,0,4,1
2913.0,9137,8498,4,9,515,389,48,0,4,1
2914.0,9140,8498,4,9,515,389,48,0,4,1
2915.0,9141,8498,4,10,515,389,48,0,4,1
2916.0,9186,8800,4,10,515,389,48,0,4,1
2917.0,9189,8800,4,10,515,390,48,0,4,1
2918.0,9192,8803,4,10,516,390,48,0,4,1
2919.0,9195,8811,4,10,516,390,48,0,4,1
2920.0,9198,8811,4,10,516,391,48,0,4,1
2921.0,9201,8814,4,10,516,391,48,0,4,1
2922.0,9204,8814,4,10,517,391,48,0,4,1
2923.0,9207,8822,4,10,518,391,48,0,4,1
2924.0,9210,8830,4,10,518,391,48,0,4,1
2925.0,9213,8830,4,10,518,391,48,0,4,1
2926.0,9216,8830,4,10,518,391,48,0,4,1
2927.0,9219,8830,4,10,518,391,48,0,4,1
2928.0,9222,8830,4,10,518,391,49,0,4,1
2929.0,9225,8832,4,10,519,391,49,0,4,1
2930.0,9228,8840,4,10,519,391,49,0,4,1
2931.0,9231,8840,4,10,519,391,49,0,4,1
2932.0,9234,8840,4,10,519,391,49,0,4,1
2933.0,9237,8840,4,10,520,391,49,0,4,1
2934.0,9240,8848,4,10,520,391,49,0,4,1
2935.0,9243,8848,4,10,520,391,49,0,4,1
2936.0,9246,8848,4,10,520,391,49,0,4,1
2937.0,9249,8848,4,10,520,391,49,0,4,1
2938.0,9252,8848,4,10,520,391,49,0,4,1
2939.0,9255,8848,4,10,520,391,49,0,4,1
2940.0,9258,8848,4,10,520,392,49,0,4,1
2941.0,9261,8851,4,10,520,393,49,0,4,1
2942.0,9264,8854,4,10,520,393,49,0,4,1
2943.0,9267,8854,4,10,520,393,49,0,4,1
2944.0,9270,8854,4,10,520,393,49,0,4,1
2945.0,9273,8854,4,10,520,394,49,0,4,1
2946.0,9276,8857,4,10,520,394,49,0,4,1
2947.0,9279,8857,4,10,520,394,49,0,4,1
2948.0,9282,8857,4,10,520,394,49,0,4,1
2949.0,9285,8857,4,10,520,394,49,0,4,1
2950.0,9288,8857,4,10,520,394,49,0,4,1
2951.0,9291,8857,4,10,521,394,49,0,4,1
2952.0,9294,8865,4,10,521,395,49,0,4,1
2953.0,9297,8868,4,10,522,395,49,0,4,1
2954.0,9300,8876,4,10,522,395,49,0,4,1
2955.0,9303,8876,4,10,522,395,49,0,4,1
2956.0,9306,8876,4,10,522,395,49,0,4,1
2957.0,9309,8876,4,10,522,396,49,0,4,1
2958.0,9312,8879,4,10,522,396,49,0,4,1
2959.0,9315,8879,4,10,522,396,49,0,4,1
2960.0,9318,8879,4,10,522,396,49,0,4,1
2961.0,9321,8879,4,10,522,396,49,0,4,1
2962.0,9324,8879,4,10,522,396,49,0,4,1
2963.0,9327,8879,4,10,523,396,49,0,4,1
2964.0,9330,8887,4,10,523,396,49,0,4,1
2965.0,9333,8887,4,10,523,397,49,0,4,1
2966.0,9336,8890,4,10,524,397,49,0,4,1
2967.0,9339,8898,4,10,524,397,49,0,4,1
2968.0,9342,8898,4,10,524,397,49,0,4,1
2969.0,9345,8898,4,10,524,397,49,0,4,1
2970.0,9348,8898,4,10,524,397,49,0,4,1
2971.0,9351,8898,4,10,524,397,49,0,4,1
2972.0,9354,8898,4,10,524,398,49,0,4,1
2973.0,9357,8901,4,10,524,398,49,0,4,1
2974.0,9360,8901,4,10,524,398,49,0,4,1
2975.0,9363,8901,4,10,524,398,50,0,4,1
2976.0,9366,8903,4,10,524,398,50,0,4,1
2977.0,9369,8903,4,10,524,398,50,0,4,1
2978.0,9372,8903,4,10,524,398,50,0,4,1
2979.0,9375,8903,4,10,524,398,50,0,4,1
2980.0,9378,8903,4,10,524,398,50,0,4,1
2981.0,9381,8903,4,10,524,398,50,0,4,1
2982.0,9384,8903,4,10,524,398,50,0,4,1
2983.0,9387,8903,4,10,524,398,51,0,4,1
2984.0,9390,8905,4,10,524,399,51,0,4,1
2985.0,9393,8908,4,10,524,400,51,0,4,1
2986.0,9396,8911,4,10,525,400,51,0,4,1
2987.0,9399,8919,4,10,525,400,51,0,4,1
2988.0,9402,8919,4,10,525,400,51,0,4,1
2989.0,9405,8919,4,10,525,400,51,0,4,1
2990.0,9408,8919,4,10,525,400,51,0,4,1
2991.0,9411,8919,4,10,525,400,51,0,4,1
2992.0,9414,8919,4,10,525,401,51,0,4,1
2993.0,9417,8922,4,10,525,401,51,0,4,1
2994.0,9420,8922,4,10,525,401,51,0,4,1
2995.0,9423,8922,4,10,526,401,51,0,4,1
2996.0,9426,8930,4,10,526,401,51,0,4,1
2997.0,9429,8930,4,10,526,402,51,0,4,1
2998.0,9432,8933,4,10,526,402,51,0,4,1
2999.0,9435,8933,4,10,526,402,51,0,4,1
3000.0,9438,8933,4,10,526,402,51,0,4,1
3001.0,9441,8933,4,10,526,402,51,0,4,1
3002.0,9444,8933,4,10,526,402,51,0,4,1
3003.0,9447,8933,4,10,527,402,51,0,4,1
3004.0,9450,8941,4,10,527,403,51,0,4,1
3005.0,9453,8944,4,10,528,403,51,0,4,1
3006.0,9456,8952,4,10,528,403,51,0,4,1
3007.0,9459,8952,4,10,528,403,51,0,4,1
3008.0,9462,8952,4,10,529,403,51,0,4,1
3009.0,9465,8960,4,10,529,403,51,0,4,1
3010.0,9468,8960,4,10,529,403,51,0,4,1
3011.0,9471,8960,4,10,529,403,51,0,4,1
3012.0,9474,8960,4,10,529,403,52,0,4,1
3013.0,9477,8962,4,10,530,403,52,0,4,1
3014.0,9480,8970,4,10,530,403,52,0,4,1
3015.0,9483,8970,4,10,531,403,52,0,4,1
3016.0,9486,8978,4,10,532,403,52,0,4,1
3017.0,9489,8986,4,10,532,403,52,0,4,1
3018.0,9492,8986,4,10,532,403,52,0,4,1
3019.0,9495,8986,4,10,532,403,52,0,4,1
3020.0,9498,8986,4,10,532,403,52,0,4,1
3021.0,9501,8986,4,10,532,403,52,0,4,1
3022.0,9504,8986,4,10,532,403,52,0,4,1
3023.0,9507,8986,4,10,532,403,52,0,4,1
3024.0,9510,8986,4,10,532,403,52,0,4,1
3025.0,9513,8986,4,10,532,404,52,0,4,1
3026.0,9516,8989,4,10,532,405,52,0,4,1
3027.0,9519,8992,4,10,532,405,52,0,4,1
3028.0,9522,8992,4,10,533,405,52,0,4,1
3029.0,9525,9000,4,10,533,405,52,0,4,1
3030.0,9528,9000,4,10,533,405,52,0,4,1
3031.0,9531,9000,4,10,533,405,52,0,4,1
3032.0,9534,9000,4,10,533,406,52,0,4,1
3033.0,9537,9003,4,10,534,406,52,0,4,1
3034.0,9540,9011,4,10,534,406,52,0,4,1
3035.0,9543,9011,4,10,534,406,52,0,4,1
3036.0,9546,9011,4,10,534,407,52,0,4,1
3037.0,9549,9014,4,10,534,408,52,0,4,1
3038.0,9552,9017,4,10,535,408,52,0,4,1
3039.0,9555,9025,4,10,535,409,52,0,4,1
3040.0,9558,9028,4,10,535,410,52,0,4,1
3041.0,9561,9031,4,10,536,410,52,0,4,1
3042.0,9564,9039,4,10,536,410,52,0,4,1
3043.0,9567,9039,4,10,536,410,52,0,4,1
3044.0,9570,9039,4,10,536,410,52,0,4,1
3045.0,9573,9039,4,10,536,410,52,0,4,1
3046.0,9576,9039,4,10,537,410,52,0,4,1
3047.0,9579,9047,4,10,537,410,52,0,4,1
3048.0,9582,9047,4,10,538,410,52,0,4,1
3049.0,9585,9055,4,10,538,411,52,0,4,1
3050.0,9588,9058,4,10,538,411,52,0,4,1
3051.0,9591,9058,4,10,538,411,52,0,4,1
3052.0,9594,9058,4,10,538,411,52,0,4,1
3053.0,9597,9058,4,10,539,411,52,0,4,1
3054.0,9600,9066,4,10,539,411,52,0,4,1
3055.0,9603,9066,4,10,539,411,52,0,4,1
3056.0,9606,9066,4,10,540,411,52,0,4,1
3057.0,9609,9074,4,10,540,411,52,0,4,1
3058.0,9612,9088,4,10,540,411,52,0,4,1
3059.0,9615,9088,4,10,540,411,52,0,4,1
3060.0,9618,9088,4,10,540,411,52,0,4,1
3061.0,9621,9088,4,10,540,412,52,0,4,1
3062.0,9624,9091,4,10,540,412,52,0,4,1
3063.0,9627,9091,4,10,540,412,52,0,4,1
3064.0,9630,9091,4,10,541,412,52,0,4,1
3065.0,9633,9099,4,10,541,412,52,0,4,1
3066.0,9636,9099,4,10,541,413,52,0,4,1
3067.0,9639,9102,4,10,541,413,52,0,4,1
3068.0,9642,9102,4,10,541,413,52,0,4,1
3069.0,9645,9102,4,10,541,413,52,0,4,1
3070.0,9648,9102,4,10,541,413,52,0,4,1
3071.0,9651,9102,4,10,541,413,52,0,4,1
3072.0,9654,9102,4,10,542,413,52,0,4,1
3073.0,9657,9110,4,10,542,413,52,0,4,1
3074.0,9660,9110,4,10,542,413,52,0,4,1
3075.0,9663,9110,4,10,542,413,52,0,4,1
3076.0,9666,9110,4,10,542,413,52,0,4,1
3077.0,9669,9110,4,10,542,413,52,0,4,1
3078.0,9672,9110,4,10,542,413,52,0,4,1
3079.0,9675,9110,4,10,543,413,52,0,4,1
3080.0,9678,9118,4,10,543,413,52,0,4,1
3081.0,9681,9118,4,10,543,413,52,0,4,1
3082.0,9684,9118,4,10,544,413,52,0,4,1
3083.0,9687,9126,4,10,544,413,52,0,4,1
3084.0,9690,9126,4,10,544,413,52,0,4,1
3085.0,9693,9126,4,10,545,413,52,0,4,1
3086.0,9696,9134,4,10,545,413,52,0,4,1
3087.0,9699,9134,4,10,545,413,52,0,4,1
3088.0,9702,9134,4,10,545,413,52,0,4,1
3089.0,9705,9134,4,10,545,414,52,0,4,1
3090.0,9708,9137,4,10,545,414,52,0,4,1
3091.0,9711,9137,4,10,545,414,52,0,4,1
3092.0,9714,9137,4,10,545,414,52,0,4,1
3093.0,9717,9137,4,10,545,414,52,0,4,1
3094.0,9720,9137,4,10,545,414,52,0,4,1
3095.0,9723,9137,4,10,545,415,52,0,4,1
3096.0,9726,9140,4,10,545,416,52,0,4,1
3097.0,9729,9143,4,10,545,416,52,0,4,1
3098.0,9732,9143,4,10,546,416,52,0,4,1
3099.0,9735,9151,4,10,547,416,52,0,4,1
3100.0,9738,9159,4,10,547,416,52,0,4,1
3101.0,9741,9159,4,10,547,416,52,0,4,1
3102.0,9744,9159,4,10,547,416,52,0,4,1
3103.0,9747,9159,4,10,547,416,52,0,4,1
3104.0,9750,9159,4,10,547,416,52,0,4,1
3105.0,9753,9159,4,10,547,416,52,0,4,1
3106.0,9756,9159,4,10,547,416,52,0,4,1
3107.0,9759,9159,4,10,547,416,52,0,4,1
3108.0,9762,9159,4,10,548,416,52,0,4,1
3109.0,9765,9167,4,10,548,417,52,0,4,1
3110.0,9768,9170,4,10,548,417,52,0,4,1
3111.0,9771,9170,4,10,548,418,52,0,4,1
3112.0,9774,9173,4,10,548,418,52,0,4,1
3113.0,9777,9173,4,10,548,419,52,0,4,1
3114.0,9780,9176,4,10,548,419,52,0,4,1
3115.0,9783,9176,4,10,548,419,52,0,4,1
3116.0,9786,9176,4,10,548,420,52,0,4,1
3117.0,9789,9179,4,10,548,420,52,0,4,1
3118.0,9792,9179,4,10,548,420,52,0,4,1
3119.0,9795,9179,4,10,548,420,52,0,4,1
3120.0,9798,9179,4,10,549,420,52,0,4,1
3121.0,9801,9187,4,10,549,420,52,0,4,1
3122.0,9804,9187,4,10,549,420,52,0,4,1
3123.0,9807,9187,4,10,549,420,52,0,4,1
3124.0,9810,9187,4,10,549,420,52,0,4,1
3125.0,9813,9187,4,10,549,420,52,0,4,1
3126.0,9816,9187,4,10,549,420,52,0,4,1
3127.0,9819,9187,4,10,549,420,52,0,4,1
3128.0,9822,9187,4,10,549,420,52,0,4,1
3129.0,9825,9187,4,10,549,420,52,0,4,1
3130.0,9828,9187,4,10,549,420,52,0,4,1
3131.0,9831,9187,4,10,550,420,52,0,4,1
3132.0,9834,9195,4,10,550,420,52,0,4,1
3133.0,9837,9195,4,10,550,421,52,0,4,1
3134.0,9840,9198,4,10,550,421,52,0,4,1
3135.0,9843,9198,4,10,550,421,52,0,4,1
3136.0,9846,9198,4,10,551,421,52,0,4,1
3137.0,9849,9206,4,10,551,421,52,0,4,1
3138.0,9852,9206,4,10,552,421,52,0,4,1
3139.0,9855,9214,4,10,553,421,52,0,4,1
3140.0,9858,9222,4,10,553,421,52,0,4,1
3141.0,9861,9222,4,10,553,422,52,0,4,1
3142.0,9864,9225,4,10,553,423,52,0,4,1
3143.0,9867,9228,4,10,553,423,52,0,4,1
3144.0,9870,9228,4,10,553,423,52,0,4,1
3145.0,9873,9228,4,10,553,423,52,0,4,1
3146.0,9876,9228,4,10,554,423,52,0,4,1
3147.0,9879,9236,4,10,554,423,52,0,4,1
3148.0,9882,9236,4,10,554,423,52,0,4,1
3149.0,9885,9236,4,10,554,423,52,0,4,1
3150.0,9888,9236,4,10,554,423,52,0,4,1
3151.0,9891,9236,4,10,555,423,52,0,4,1
3152.0,9894,9244,4,10,556,423,52,0,4,1
3153.0,9897,9252,4,10,556,423,52,0,4,1
3154.0,9900,9252,4,10,556,424,52,0,4,1
3155.0,9903,9255,4,10,556,424,52,0,4,1
3156.0,9906,9255,4,10,557,424,52,0,4,1
3157.0,9909,9263,4,10,557,424,52,0,4,1
3158.0,9912,9263,4,10,557,424,52,0,4,1
3159.0,9915,9263,4,10,557,424,52,0,4,1
3160.0,9918,9263,4,10,557,425,52,0,4,1
3161.0,9921,9266,4,10,557,425,52,0,4,1
3162.0,9924,9266,4,10,557,425,52,0,4,1
3163.0,9927,9266,4,10,558,425,52,0,4,1
3164.0,9930,9274,4,10,558,425,52,0,4,1
3165.0,9933,9274,4,10,558,425,52,0,4,1
3166.0,9936,9274,4,10,558,426,52,0,4,1
3167.0,9939,9277,4,10,558,427,52,0,4,1
3168.0,9942,9280,4,10,558,427,52,0,4,1
3169.0,9945,9280,4,10,559,427,52,0,4,1
3170.0,9948,9288,4,10,559,427,52,0,4,1
3171.0,9951,9288,4,10,559,427,52,0,4,1
3172.0,9954,9288,4,10,559,427,52,0,4,1
3173.0,9957,9288,4,10,560,427,52,0,4,1
3174.0,9960,9296,4,10,560,427,52,0,4,1
3175.0,9963,9296,4,10,561,427,52,0,4,1
3176.0,9966,9304,4,10,561,427,52,0,4,1
3177.0,9969,9304,4,10,561,427,52,0,4,1
3178.0,9972,9304,4,10,561,427,52,0,4,1
3179.0,9975,9304,4,10,561,427,53,0,4,1
3180.0,9978,9306,4,10,561,428,53,0,4,1
3181.0,9981,9309,4,10,561,428,53,0,4,1
3182.0,9984,9309,4,10,561,428,53,0,4,1
3183.0,9987,9309,4,10,561,428,53,0,4,1
3184.0,9990,9309,4,10,561,428,53,0,4,1
3185.0,9993,9309,4,10,561,428,53,0,4,1
3186.0,9996,9309,4,10,561,428,53,0,4,1
3187.0,9999,9309,4,10,561,428,53,0,4,1
3188.0,10002,9309,4,10,561,428,53,0,4,1
3189.0,10005,9309,4,10,561,429,53,0,4,1
3190.0,10008,9312,4,10,561,429,53,0,4,1
3191.0,10011,9312,4,10,561,429,53,0,4,1
3192.0,10014,9312,4,10,561,429,53,0,4,1
3193.0,10017,9312,4,10,561,430,53,0,4,1
3194.0,10020,9315,4,10,561,431,53,0,4,1
3195.0,10023,9318,4,10,562,431,53,0,4,1
3196.0,10026,9326,4,10,562,431,53,0,4,1
3197.0,10029,9326,4,10,563,431,53,0,4,1
3198.0,10032,9334,4,10,563,431,53,0,4,1
3199.0,10035,9334,4,10,563,432,53,0,4,1
3200.0,10038,9337,4,10,563,432,53,0,4,1
3201.0,10041,9337,4,10,563,432,53,0,4,1
3202.0,10044,9337,4,10,563,432,53,0,4,1
3203.0,10047,9337,4,10,564,432,53,0,4,1
3204.0,10050,9345,4,10,565,432,53,0,4,1
3205.0,10053,9353,4,10,566,432,53,0,4,1
3206.0,10056,9361,4,10,566,433,53,0,4,1
3207.0,10059,9364,4,10,567,433,53,0,4,1
3208.0,10062,9372,4,10,567,433,53,0,4,1
3209.0,10065,9372,4,10,567,434,53,0,4,1
3210.0,10068,9375,4,10,567,434,53,0,4,1
3211.0,10071,9375,4,10,567,434,53,0,4,1
3212.0,10074,9375,4,10,567,434,53,0,4,1
3213.0,10077,9375,4,10,568,434,53,0,4,1
3214.0,10080,9383,4,10,569,434,53,0,4,1
3215.0,10083,9391,4,10,569,435,53,0,4,1
3216.0,10086,9394,4,10,569,435,53,0,4,1
3217.0,10089,9394,4,10,570,435,53,0,4,1
3218.0,10092,9402,4,10,570,435,53,0,4,1
3219.0,10095,9402,4,10,571,435,53,0,4,1
3220.0,10098,9410,4,10,571,435,54,0,4,1
3221.0,10101,9412,4,10,571,435,54,0,4,1
3222.0,10104,9412,4,10,571,435,54,0,4,1
3223.0,10107,9412,4,10,571,435,54,0,4,1
3224.0,10110,9412,4,10,571,435,55,0,4,1
3225.0,10113,9414,4,10,571,436,55,0,4,1
3226.0,10116,9417,4,10,571,436,55,0,4,1
3227.0,10119,9417,4,10,571,436,55,0,4,1
3228.0,10122,9417,4,10,571,436,55,0,4,1
3229.0,10125,9417,4,10,572,436,55,0,4,1
3230.0,10128,9425,4,10,572,436,55,0,4,1
3231.0,10131,9425,4,10,573,436,55,0,4,1
3232.0,10134,9433,4,10,573,436,55,0,4,1
3233.0,10137,9433,4,10,573,436,55,0,4,1
3234.0,10140,9433,4,10,574,436,55,0,4,1
3235.0,10143,9441,4,10,574,436,55,0,4,1
3236.0,10146,9441,4,10,574,436,56,0,4,1
3237.0,10149,9443,4,10,574,436,56,0,4,1
3238.0,10152,9443,4,10,574,436,56,0,4,1
3239.0,10155,9443,4,10,574,436,56,0,4,1
3240.0,10158,9443,4,10,574,436,56,0,4,1
3241.0,10161,9443,4,10,574,436,56,0,4,1
3242.0,10162,9443,4,11,574,436,56,0,4,1
3243.0,10207,9740,4,11,574,436,56,0,4,1
3244.0,10210,9740,4,11,574,436,56,0,4,1
3245.0,10213,9740,4,11,574,436,56,0,4,1
3246.0,10216,9740,4,11,574,436,57,0,4,1
3247.0,10219,9742,4,11,574,436,57,0,4,1
3248.0,10222,9742,4,11,574,436,57,0,4,1
3249.0,10225,9742,4,11,574,436,57,0,4,1
3250.0,10228,9742,4,11,574,436,57,0,4,1
3251.0,10231,9742,4,11,574,436,57,0,4,1
3252.0,10234,9742,4,11,574,436,57,0,4,1
3253.0,10237,9742,4,11,575,436,57,0,4,1
3254.0,10240,9750,4,11,575,436,57,0,4,1
3255.0,10243,9750,4,11,575,437,57,0,4,1
3256.0,10246,9753,4,11,575,437,57,0,4,1
3257.0,10249,9753,4,11,575,437,57,0,4,1
3258.0,10252,9753,4,11,575,438,57,0,4,1
3259.0,10255,9756,4,11,575,438,57,0,4,1
3260.0,10258,9756,4,11,575,439,57,0,4,1
3261.0,10261,9759,4,11,575,439,57,0,4,1
3262.0,10264,9759,4,11,575,440,57,0,4,1
3263.0,10267,9762,4,11,575,440,57,0,4,1
3264.0,10270,9762,4,11,575,441,57,0,4,1
3265.0,10273,9765,4,11,576,441,57,0,4,1
3266.0,10276,9773,4,11,577,441,57,0,4,1
3267.0,10279,9781,4,11,577,441,57,0,4,1
3268.0,10282,9781,4,11,577,441,57,0,4,1
3269.0,10285,9781,4,11,577,441,57,0,4,1
3270.0,10288,9781,4,11,577,441,58,0,4,1
3271.0,10291,9783,4,11,578,441,58,0,4,1
3272.0,10294,9791,4,11,578,442,58,0,4,1
3273.0,10297,9794,4,11,578,442,58,0,4,1
3274.0,10300,9794,4,11,578,442,58,0,4,1
3275.0,10303,9794,4,11,578,442,58,0,4,1
3276.0,10306,9794,4,11,578,443,58,0,4,1
3277.0,10309,9797,4,11,578,444,58,0,4,1
3278.0,10312,9800,4,11,578,444,58,0,4,1
3279.0,10315,9800,4,11,578,444,58,0,4,1
3280.0,10318,9800,4,11,578,444,58,0,4,1
3281.0,10321,9800,4,11,578,444,58,0,4,1
3282.0,10324,9800,4,11,578,445,58,0,4,1
3283.0,10327,9803,4,11,578,445,58,0,4,1
3284.0,10330,9803,4,11,578,445,58,0,4,1
3285.0,10333,9803,4,11,578,445,58,0,4,1
3286.0,10336,9803,4,11,578,445,58,0,4,1
3287.0,10339,9803,4,11,578,445,58,0,4,1
3288.0,10342,9803,4,11,578,446,58,0,4,1
3289.0,10345,9806,4,11,579,446,58,0,4,1
3290.0,10348,9814,4,11,580,446,58,0,4,1
3291.0,10351,9822,4,11,580,446,58,0,4,1
3292.0,10354,9822,4,11,580,446,58,0,4,1
3293.0,10357,9822,4,11,580,447,58,0,4,1
3294.0,10360,9825,4,11,580,447,58,0,4,1
3295.0,10363,9825,4,11,580,447,58,0,4,1
3296.0,10366,9825,4,11,580,448,58,0,4,1
3297.0,10369,9828,4,11,580,449,58,0,4,1
3298.0,10372,9831,4,11,580,449,58,0,4,1
3299.0,10375,9831,4,11,580,450,58,0,4,1
3300.0,10378,9834,4,11,580,451,58,0,4,1
3301.0,10381,9837,4,11,580,451,58,0,4,1
3302.0,10384,9837,4,11,581,451,58,0,4,1
3303.0,10387,9845,4,11,581,451,58,0,4,1
3304.0,10390,9845,4,11,581,452,58,0,4,1
3305.0,10393,9848,4,11,581,453,58,0,4,1
3306.0,10396,9851,4,11,581,453,58,0,4,1
3307.0,10399,9851,4,11,581,453,58,0,4,1
3308.0,10402,9851,4,11,581,453,58,0,4,1
3309.0,10405,9851,4,11,581,453,58,0,4,1
3310.0,10408,9851,4,11,581,453,58,0,4,1
3311.0,10411,9851,4,11,581,453,59,0,4,1
3312.0,10414,9853,4,11,581,453,59,0,4,1
3313.0,10417,9853,4,11,581,453,59,0,4,1
3314.0,10420,9853,4,11,581,453,59,0,4,1
3315.0,10423,9853,4,11,581,453,59,0,4,1
3316.0,10426,9853,4,11,581,453,59,0,4,1
3317.0,10429,9853,4,11,581,453,59,0,4,1
3318.0,10432,9853,4,11,581,453,59,0,4,1
3319.0,10435,9853,4,11,582,453,59,0,4,1
3320.0,10438,9861,4,11,582,453,59,0,4,1
3321.0,10441,9861,4,11,582,453,59,0,4,1
3322.0,10444,9861,4,11,582,453,59,0,4,1
3323.0,10447,9861,4,11,582,453,59,0,4,1
