No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
70.0,210,110,0,0,10,10,0,0,0,1
71.0,213,110,0,0,10,10,0,0,0,1
72.0,216,110,0,0,10,10,0,0,0,1
73.0,219,110,0,0,11,10,0,0,0,1
74.0,222,118,0,0,11,10,0,0,0,1
75.0,225,118,0,0,11,10,0,0,0,1
76.0,228,118,0,0,11,10,0,0,0,1
77.0,231,118,0,0,12,10,0,0,0,1
78.0,234,126,0,0,12,10,0,0,0,1
79.0,237,126,0,0,12,10,0,0,0,1
80.0,240,126,0,0,12,10,0,0,0,1
81.0,243,126,0,0,12,10,0,0,0,1
82.0,246,126,0,0,12,10,0,0,0,1
83.0,249,126,0,0,12,10,0,0,0,1
